Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Province,Station ID,WMO ID,Elevation (m),First Year,Last Year,HLY First Year,HLY Last Year,DLY First Year,DLY Last Year,MLY First Year,MLY Last Year
-79.40,43.67,TORONTO,6158350,1899-01-01,1899,01,01,,-8.3,,-21.1,,-14.7,,32.7,,0.0,,0.0,,0.0,,0.0,ONTARIO,5051,71266,112.5,1840,2017,1953,1969,1840,2017,1840,2006
-79.40,43.67,TORONTO,6158350,1899-01-02,1899,01,02,,-0.6,,-10.0,,-5.3,,23.3,,0.0,,0.0,,0.0,,0.0,ONTARIO,5051,71266,112.5,1840,2017,1953,1969,1840,2017,1840,2006
-79.40,43.67,TORONTO,6158350,1899-01-03,1899,01,03,,4.4,,-2.8,,0.8,,17.2,,0.0,,0.0,T,0.0,T,0.0,ONTARIO,5051,71266,112.5,1840,2017,1953,1969,1840,2017,1840,2006
-79.40,43.67,TORONTO,6158350,1899-01-04,1899,01,04,,11.1,,3.9,,7.5,,10.5,,0.0,,22.4,,0.0,,22.4,ONTARIO,5051,71266,112.5,1840,2017,1953,1969,1840,2017,1840,2006
-79.40,43.67,TORONTO,6158350,1899-01-05,1899,01,05,,10.0,,-6.7,,1.7,,16.3,,0.0,,0.0,,0.0,,0.0,ONTARIO,5051,71266,112.5,1840,2017,1953,1969,1840,2017,1840,2006
-79.40,43.67,TORONTO,6158350,1899-01-06,1899,01,06,,-1.7,,-7.2,,-4.5,,22.5,,0.0,,0.0,,8.4,,8.4,ONTARIO,5051,71266,112.5,1840,2017,1953,1969,1840,2017,1840,2006
-79.40,43.67,TORONTO,6158350,1899-01-07,1899,01,07,,-6.7,,-12.8,,-9.8,,27.8,,0.0,,0.0,,0.3,,0.3,ONTARIO,5051,71266,112.5,1840,2017,1953,1969,1840,2017,1840,2006
-79.40,43.67,TORONTO,6158350,1899-01-08,1899,01,08,,1.1,,-12.8,,-5.9,,23.9,,0.0,,0.0,,0.0,T,0.0,ONTARIO,5051,71266,112.5,1840,2017,1953,1969,1840,2017,1840,2006
-79.40,43.67,TORONTO,6158350,1899-01-09,1899,01,09,,-0.6,,-17.2,,-8.9,,26.9,,0.0,,0.0,,0.8,,0.8,ONTARIO,5051,71266,112.5,1840,2017,1953,1969,1840,2017,1840,2006
-79.40,43.67,TORONTO,6158350,1899-01-10,1899,01,10,,-16.1,,-21.1,,-18.6,,36.6,,0.0,,0.0,,0.0,,0.0,ONTARIO,5051,71266,112.5,1840,2017,1953,1969,1840,2017,1840,2006
